seed,episode,total_steps,return
777,1,29,29.0
777,2,62,33.0
777,3,82,20.0
777,4,113,31.0
777,5,186,73.0
777,6,213,27.0
777,7,231,18.0
777,8,243,12.0
777,9,285,42.0
777,10,321,36.0
777,11,331,10.0
777,12,375,44.0
777,13,400,25.0
777,14,415,15.0
777,15,435,20.0
777,16,461,26.0
777,17,480,19.0
777,18,515,35.0
777,19,537,22.0
777,20,547,10.0
777,21,565,18.0
777,22,582,17.0
777,23,604,22.0
777,24,632,28.0
777,25,645,13.0
777,26,676,31.0
777,27,696,20.0
777,28,721,25.0
777,29,739,18.0
777,30,753,14.0
777,31,771,18.0
777,32,794,23.0
777,33,835,41.0
777,34,853,18.0
777,35,869,16.0
777,36,905,36.0
777,37,932,27.0
777,38,950,18.0
777,39,967,17.0
777,40,987,20.0
777,41,1000,13.0
777,42,1029,29.0
777,43,1048,19.0
777,44,1064,16.0
777,45,1080,16.0
777,46,1090,10.0
777,47,1103,13.0
777,48,1114,11.0
777,49,1133,19.0
777,50,1144,11.0
777,51,1182,38.0
777,52,1195,13.0
777,53,1213,18.0
777,54,1241,28.0
777,55,1259,18.0
777,56,1279,20.0
777,57,1295,16.0
777,58,1324,29.0
777,59,1349,25.0
777,60,1360,11.0
777,61,1427,67.0
777,62,1453,26.0
777,63,1468,15.0
777,64,1485,17.0
777,65,1499,14.0
777,66,1548,49.0
777,67,1567,19.0
777,68,1581,14.0
777,69,1631,50.0
777,70,1642,11.0
777,71,1681,39.0
777,72,1706,25.0
777,73,1720,14.0
777,74,1754,34.0
777,75,1767,13.0
777,76,1781,14.0
777,77,1800,19.0
777,78,1825,25.0
777,79,1835,10.0
777,80,1867,32.0
777,81,1879,12.0
777,82,1893,14.0
777,83,1917,24.0
777,84,1942,25.0
777,85,1963,21.0
777,86,1999,36.0
777,87,2015,16.0
777,88,2025,10.0
777,89,2038,13.0
777,90,2050,12.0
777,91,2085,35.0
777,92,2103,18.0
777,93,2112,9.0
777,94,2135,23.0
777,95,2158,23.0
777,96,2233,75.0
777,97,2245,12.0
777,98,2280,35.0
777,99,2291,11.0
777,100,2306,15.0
777,101,2316,10.0
777,102,2344,28.0
777,103,2368,24.0
777,104,2414,46.0
777,105,2440,26.0
777,106,2454,14.0
777,107,2521,67.0
777,108,2569,48.0
777,109,2590,21.0
777,110,2621,31.0
777,111,2654,33.0
777,112,2667,13.0
777,113,2716,49.0
777,114,2735,19.0
777,115,2754,19.0
777,116,2791,37.0
777,117,2808,17.0
777,118,2835,27.0
777,119,2859,24.0
777,120,2880,21.0
777,121,2914,34.0
777,122,2923,9.0
777,123,2935,12.0
777,124,2969,34.0
777,125,2982,13.0
777,126,3021,39.0
777,127,3058,37.0
777,128,3075,17.0
777,129,3100,25.0
777,130,3124,24.0
777,131,3139,15.0
777,132,3155,16.0
777,133,3188,33.0
777,134,3211,23.0
777,135,3224,13.0
777,136,3245,21.0
777,137,3257,12.0
777,138,3283,26.0
777,139,3294,11.0
777,140,3312,18.0
777,141,3325,13.0
777,142,3373,48.0
777,143,3391,18.0
777,144,3454,63.0
777,145,3471,17.0
777,146,3488,17.0
777,147,3542,54.0
777,148,3600,58.0
777,149,3613,13.0
777,150,3625,12.0
777,151,3646,21.0
777,152,3667,21.0
777,153,3677,10.0
777,154,3693,16.0
777,155,3713,20.0
777,156,3728,15.0
777,157,3748,20.0
777,158,3763,15.0
777,159,3841,78.0
777,160,3904,63.0
777,161,3947,43.0
777,162,3979,32.0
777,163,3993,14.0
777,164,4016,23.0
777,165,4037,21.0
777,166,4059,22.0
777,167,4074,15.0
777,168,4103,29.0
777,169,4118,15.0
777,170,4137,19.0
777,171,4150,13.0
777,172,4168,18.0
777,173,4210,42.0
777,174,4238,28.0
777,175,4257,19.0
777,176,4276,19.0
777,177,4287,11.0
777,178,4305,18.0
777,179,4329,24.0
777,180,4349,20.0
777,181,4365,16.0
777,182,4388,23.0
777,183,4407,19.0
777,184,4432,25.0
777,185,4443,11.0
777,186,4456,13.0
777,187,4473,17.0
777,188,4487,14.0
777,189,4497,10.0
777,190,4520,23.0
777,191,4566,46.0
777,192,4588,22.0
777,193,4604,16.0
777,194,4626,22.0
777,195,4672,46.0
777,196,4689,17.0
777,197,4739,50.0
777,198,4764,25.0
777,199,4780,16.0
777,200,4796,16.0
777,201,4815,19.0
777,202,4829,14.0
777,203,4851,22.0
777,204,4861,10.0
777,205,4902,41.0
777,206,4921,19.0
777,207,4931,10.0
777,208,4949,18.0
777,209,4965,16.0
777,210,4991,26.0
777,211,5010,19.0
777,212,5036,26.0
777,213,5048,12.0
777,214,5062,14.0
777,215,5073,11.0
777,216,5089,16.0
777,217,5111,22.0
777,218,5123,12.0
777,219,5136,13.0
777,220,5150,14.0
777,221,5160,10.0
777,222,5201,41.0
777,223,5220,19.0
777,224,5234,14.0
777,225,5251,17.0
777,226,5266,15.0
777,227,5281,15.0
777,228,5294,13.0
777,229,5311,17.0
777,230,5330,19.0
777,231,5341,11.0
777,232,5353,12.0
