step,loss,kl_div,mean_reward,elapsed_min
1,0.0,0.0,0.0,1.622246797879537
2,0.0,0.0,0.0,1.8537277380625408
3,0.0,0.0,0.0,2.2067185084025067
4,0.0,0.0,0.0,2.5214463154474895
5,0.0,0.0,0.0,2.772360940774282
6,0.0,0.0,0.0,3.19118062655131
7,0.0,0.0,0.0,3.5039819280306497
8,0.0,0.0,0.0,4.006567541758219
9,0.0,0.0,0.0,4.538612945874532
10,0.0,0.0,0.0,4.898180802663167
11,0.0,0.0,0.0,5.370875211556752
12,3.56704044342041,0.0,0.125,5.841305363178253
13,1.5256681442260742,0.0498046875,0.125,6.081472325325012
14,0.00738525390625,0.1845703125,0.0,6.478850471973419
15,2.0693883895874023,0.2080078125,0.125,6.716499245166778
16,0.0478515625,1.1953125,0.0,7.11672963698705
17,0.087890625,2.203125,0.0,7.42230345805486
18,0.0634765625,1.5859375,0.0,7.859750485420227
19,0.035888671875,0.89453125,0.0,8.25980348587036
20,0.043701171875,1.09375,0.0,8.61439661582311
21,0.026611328125,0.6640625,0.0,9.091423058509827
22,0.03759765625,0.94140625,0.0,9.456011434396109
23,0.69921875,17.5,0.0,9.85776345729828
24,5.606285095214844,1.375,0.125,10.211080396175385
25,-0.5289649963378906,11.125,0.25,10.683336265881856
26,0.19921875,4.96875,0.0,11.050362960497539
27,6.125,153.0,0.0,11.306836954752605
28,-1.0432548522949219,14.0625,0.25,11.79605039358139
29,1.092097282409668,7.6875,0.125,12.124645860989888
30,0.13671875,3.40625,0.0,12.491209737459819
31,0.025634765625,0.640625,0.0,12.850179286797841
32,0.75,18.75,0.0,13.09260615905126
33,0.0830078125,2.078125,0.0,13.681857375303904
34,0.058837890625,1.46875,0.0,14.07055298089981
35,0.08203125,2.046875,0.0,14.35238648255666
36,0.0830078125,2.078125,0.0,14.684513258934022
37,4.406353950500488,5.1875,0.25,14.99705890417099
38,0.04052734375,1.015625,0.0,15.329822289943696
39,0.0291748046875,0.73046875,0.0,15.801918137073518
40,0.05908203125,1.4765625,0.0,16.21731907526652
41,0.054443359375,1.359375,0.0,16.516121824582417
42,1.6357369422912598,6.3125,0.625,16.841218094031017
43,0.013427734375,0.3359375,0.0,17.186513233184815
44,0.051513671875,1.2890625,0.0,17.377113016446433
45,1.453291893005371,1.5625,0.125,17.797429553667705
46,0.177734375,4.4375,0.0,18.24858515659968
47,0.050048828125,1.25,0.0,18.566339337825774
48,0.06005859375,1.5,0.0,18.8713542620341
49,0.1904296875,4.75,0.0,19.15424911181132
50,-3.2421875,7.625,0.5,19.49591932296753
51,0.16015625,4.0,0.0,19.775611583391825
52,0.042236328125,1.0546875,0.0,20.108943072954812
53,0.0986328125,2.46875,0.0,20.40241720676422
54,3.288731575012207,2.34375,0.125,20.77653452157974
55,0.068359375,1.703125,0.0,21.210776404539743
56,-2.4039382934570312,4.125,0.125,21.547889308134714
57,0.022705078125,0.56640625,0.0,21.963986921310426
58,-0.8311748504638672,1.6171875,0.375,22.234313480059306
59,0.3046875,7.625,0.0,22.659983134269716
60,0.3482532501220703,3.6875,0.125,23.096166002750397
61,0.08642578125,2.15625,0.0,23.420736400286355
62,0.043701171875,1.09375,0.0,23.820454569657645
63,0.0966796875,2.421875,0.0,24.117955803871155
64,0.06982421875,1.7421875,0.0,24.383333921432495
65,0.138671875,3.46875,0.0,24.715635108947755
66,-2.496431350708008,4.03125,0.125,25.03896010716756
67,0.3671875,9.1875,0.0,25.417462106545766
68,0.5,12.5,0.0,25.815678723653157
69,0.0810546875,2.03125,0.0,26.147341374556223
70,-1.7391080856323242,2.734375,0.125,26.329768602053324
71,-2.8127102851867676,5.34375,0.25,26.528636968135835
72,0.10498046875,2.625,0.0,26.925663669904072
73,0.09765625,2.4375,0.0,27.363531692822775
74,4.5253448486328125,3.078125,0.25,27.72213625907898
75,0.08642578125,2.15625,0.0,28.035858444372813
76,0.08984375,2.25,0.0,28.341119205951692
77,0.12060546875,3.015625,0.0,28.631198342641195
78,-4.017809867858887,8.9375,0.25,28.865403322378793
79,9.345327377319336,4.5,0.125,29.172629197438557
80,-0.7001438140869141,6.1875,0.25,29.422079586982726
81,0.130859375,3.28125,0.0,29.788098593552906
82,0.1181640625,2.953125,0.0,30.203145678838094
83,0.0771484375,1.9296875,0.0,30.515468804041543
84,0.059326171875,1.484375,0.0,30.940371600786843
85,0.1650390625,4.125,0.0,31.15886540810267
86,-2.0463805198669434,0.95703125,0.125,31.510031127929686
87,0.3828125,9.5625,0.0,31.783702230453493
