step,loss,kl_div,mean_reward,elapsed_min
88,0.166015625,4.15625,0.0,32.00960693359375
89,0.16796875,4.1875,0.0,32.19841796954473
90,1.953125,48.75,0.0,32.53457496563593
91,0.12109375,3.03125,0.0,32.832859778404234
92,-3.3206682205200195,5.28125,0.125,33.2414302666982
93,0.05810546875,1.453125,0.0,33.47541406949361
94,0.1513671875,3.78125,0.0,33.70794584751129
95,0.6030368804931641,4.15625,0.125,33.90599450667699
96,0.08203125,2.046875,0.0,34.27712468703588
97,0.050537109375,1.265625,0.0,34.67373385429382
98,0.06298828125,1.578125,0.0,35.13577565749486
99,0.034912109375,0.875,0.0,35.49151225884756
100,0.0546875,1.3671875,0.0,35.841779418786366
101,0.1044921875,2.609375,0.0,36.15957355101903
102,0.034912109375,0.875,0.0,36.51716901858648
103,0.06396484375,1.6015625,0.0,36.88253417809804
104,0.07958984375,1.9921875,0.0,37.28585106134415
105,0.10986328125,2.75,0.0,37.59674158096313
106,0.06982421875,1.75,0.0,37.77809816598892
107,0.08447265625,2.109375,0.0,37.961734366416934
108,0.07763671875,1.9453125,0.0,38.38577053149541
109,0.09619140625,2.40625,0.0,38.69698063929876
110,0.047607421875,1.1875,0.0,38.97545940081279
111,0.087890625,2.203125,0.0,39.325919636090596
112,1.7329168319702148,29.25,0.125,39.5516095439593
113,0.10791015625,2.703125,0.0,39.96267468929291
114,0.09521484375,2.375,0.0,40.164538113276166
115,0.0673828125,1.6796875,0.0,40.359085178375246
116,0.14453125,3.609375,0.0,40.59292704264323
117,0.25,6.25,0.0,40.96554700533549
118,0.10498046875,2.625,0.0,41.3373392979304
119,0.043701171875,1.09375,0.0,41.60163162549337
120,0.1435546875,3.578125,0.0,41.8663635969162
121,0.06640625,1.65625,0.0,42.19641796350479
122,0.341796875,8.5625,0.0,42.42136972347895
123,0.0478515625,1.1953125,0.0,42.70724376440048
124,0.056640625,1.4140625,0.0,43.085183461507164
125,0.10546875,2.640625,0.0,43.373120220502216
126,0.57421875,14.375,0.0,43.56134689251582
127,-1.281815528869629,7.4375,0.25,43.76707891623179
128,0.08056640625,2.015625,0.0,44.14341435829798
129,0.80078125,20.0,0.0,44.48768807252248
130,0.020751953125,0.51953125,0.0,44.67143112023671
131,0.103515625,2.59375,0.0,45.01342250108719
132,0.1416015625,3.53125,0.0,45.423910864194234
133,0.400390625,10.0,0.0,45.66607652505239
134,0.11865234375,2.96875,0.0,45.96603309313456
135,0.060546875,1.515625,0.0,46.307898330688474
136,0.062255859375,1.5546875,0.0,46.57921657562256
137,0.0810546875,2.03125,0.0,46.90249328215917
138,0.0908203125,2.265625,0.0,47.150758520762125
139,0.0250244140625,0.625,0.0,47.46433595816294
140,0.060546875,1.515625,0.0,47.84537652730942
141,0.024169921875,0.60546875,0.0,48.16885397434235
142,0.091796875,2.296875,0.0,48.4360159834226
143,0.0556640625,1.390625,0.0,48.7097913424174
144,0.031494140625,0.7890625,0.0,49.02729459603628
145,0.0517578125,1.296875,0.0,49.37662012577057
146,-2.3064022064208984,10.4375,0.25,49.5632647395134
147,0.193359375,4.84375,0.0,49.87985843420029
148,0.1796875,4.5,0.0,50.19278894662857
149,0.228515625,5.71875,0.0,50.500059167544045
150,-0.2835731506347656,3.1875,0.375,50.702673176924385
