seed,episode,total_steps,return
777,1,29,29.0
777,2,62,33.0
777,3,82,20.0
777,4,113,31.0
777,5,186,73.0
777,6,213,27.0
777,7,231,18.0
777,8,243,12.0
777,9,285,42.0
777,10,321,36.0
777,11,331,10.0
777,12,375,44.0
777,13,400,25.0
777,14,415,15.0
777,15,435,20.0
777,16,461,26.0
777,17,480,19.0
777,18,515,35.0
777,19,537,22.0
777,20,547,10.0
777,21,565,18.0
777,22,582,17.0
777,23,604,22.0
777,24,632,28.0
777,25,645,13.0
777,26,676,31.0
777,27,696,20.0
777,28,721,25.0
777,29,739,18.0
777,30,753,14.0
777,31,771,18.0
777,32,794,23.0
777,33,835,41.0
777,34,853,18.0
777,35,869,16.0
777,36,905,36.0
777,37,932,27.0
777,38,950,18.0
777,39,967,17.0
777,40,987,20.0
777,41,1000,13.0
777,42,1029,29.0
777,43,1056,27.0
777,44,1068,12.0
777,45,1093,25.0
777,46,1113,20.0
777,47,1153,40.0
777,48,1173,20.0
777,49,1190,17.0
777,50,1202,12.0
777,51,1216,14.0
777,52,1229,13.0
777,53,1318,89.0
777,54,1353,35.0
777,55,1371,18.0
777,56,1388,17.0
777,57,1400,12.0
777,58,1425,25.0
777,59,1482,57.0
777,60,1496,14.0
777,61,1506,10.0
777,62,1526,20.0
777,63,1539,13.0
777,64,1554,15.0
777,65,1585,31.0
777,66,1602,17.0
777,67,1611,9.0
777,68,1624,13.0
777,69,1642,18.0
777,70,1684,42.0
777,71,1702,18.0
777,72,1718,16.0
777,73,1783,65.0
777,74,1819,36.0
777,75,1845,26.0
777,76,1875,30.0
777,77,1900,25.0
777,78,1919,19.0
777,79,1943,24.0
777,80,1964,21.0
777,81,1982,18.0
777,82,1993,11.0
777,83,2010,17.0
777,84,2070,60.0
777,85,2093,23.0
777,86,2106,13.0
777,87,2116,10.0
777,88,2133,17.0
777,89,2146,13.0
777,90,2160,14.0
777,91,2205,45.0
777,92,2235,30.0
777,93,2252,17.0
777,94,2268,16.0
777,95,2307,39.0
777,96,2337,30.0
777,97,2363,26.0
777,98,2375,12.0
777,99,2409,34.0
777,100,2426,17.0
777,101,2438,12.0
777,102,2454,16.0
777,103,2476,22.0
777,104,2510,34.0
777,105,2527,17.0
777,106,2541,14.0
777,107,2559,18.0
777,108,2576,17.0
777,109,2592,16.0
777,110,2609,17.0
777,111,2620,11.0
777,112,2637,17.0
777,113,2665,28.0
777,114,2683,18.0
777,115,2710,27.0
777,116,2725,15.0
777,117,2736,11.0
777,118,2748,12.0
777,119,2757,9.0
777,120,2770,13.0
777,121,2789,19.0
777,122,2811,22.0
777,123,2850,39.0
777,124,2889,39.0
777,125,2904,15.0
777,126,2921,17.0
777,127,2943,22.0
777,128,2980,37.0
777,129,2998,18.0
777,130,3046,48.0
777,131,3106,60.0
777,132,3119,13.0
777,133,3137,18.0
777,134,3151,14.0
777,135,3163,12.0
777,136,3196,33.0
777,137,3211,15.0
777,138,3223,12.0
777,139,3235,12.0
777,140,3290,55.0
777,141,3324,34.0
777,142,3348,24.0
777,143,3360,12.0
777,144,3372,12.0
777,145,3406,34.0
777,146,3427,21.0
777,147,3455,28.0
777,148,3469,14.0
777,149,3479,10.0
777,150,3503,24.0
777,151,3527,24.0
777,152,3549,22.0
777,153,3559,10.0
777,154,3572,13.0
777,155,3593,21.0
777,156,3641,48.0
777,157,3674,33.0
777,158,3706,32.0
777,159,3723,17.0
777,160,3781,58.0
777,161,3798,17.0
777,162,3825,27.0
777,163,3837,12.0
777,164,3848,11.0
777,165,3867,19.0
777,166,3887,20.0
777,167,3898,11.0
777,168,3909,11.0
777,169,3921,12.0
777,170,3975,54.0
777,171,3984,9.0
777,172,4004,20.0
777,173,4026,22.0
777,174,4048,22.0
777,175,4071,23.0
777,176,4144,73.0
777,177,4161,17.0
777,178,4178,17.0
777,179,4207,29.0
777,180,4221,14.0
777,181,4241,20.0
777,182,4280,39.0
777,183,4291,11.0
777,184,4312,21.0
777,185,4332,20.0
777,186,4356,24.0
777,187,4387,31.0
777,188,4436,49.0
777,189,4448,12.0
777,190,4461,13.0
777,191,4480,19.0
777,192,4492,12.0
777,193,4511,19.0
777,194,4532,21.0
777,195,4560,28.0
777,196,4576,16.0
777,197,4591,15.0
777,198,4632,41.0
777,199,4644,12.0
777,200,4661,17.0
777,201,4674,13.0
777,202,4692,18.0
777,203,4722,30.0
777,204,4734,12.0
777,205,4755,21.0
777,206,4775,20.0
777,207,4790,15.0
777,208,4809,19.0
777,209,4827,18.0
777,210,4867,40.0
777,211,4879,12.0
777,212,4890,11.0
777,213,4924,34.0
777,214,4934,10.0
777,215,4945,11.0
777,216,4997,52.0
777,217,5011,14.0
777,218,5028,17.0
777,219,5060,32.0
777,220,5081,21.0
777,221,5104,23.0
777,222,5119,15.0
777,223,5155,36.0
777,224,5170,15.0
777,225,5209,39.0
777,226,5246,37.0
777,227,5265,19.0
777,228,5314,49.0
777,229,5332,18.0
777,230,5376,44.0
777,231,5389,13.0
777,232,5403,14.0
