seed,episode,total_steps,return
777,1,104,-454.93907130880643
777,2,206,-398.82004843272534
777,3,294,-139.58089135943573
777,4,381,-300.67082740918624
777,5,486,-188.85174884782083
777,6,603,-96.88956112385395
777,7,729,-49.89922292091777
777,8,875,-293.09519438428833
777,9,948,-203.7165231348025
777,10,1044,-133.52210867070295
777,11,1128,-138.83776227885417
777,12,1233,-325.0329122735313
777,13,1328,-321.93821368687844
777,14,1395,-97.48219571516486
777,15,1477,-121.70817260477514
777,16,1613,-364.3018563564682
777,17,1684,-113.48814977497791
777,18,1784,-133.81215143012173
777,19,1851,-63.82521250028405
777,20,1950,-92.99773837157922
777,21,2014,-58.404741439900356
777,22,2123,-206.02371113905733
777,23,2220,-109.79060405915274
777,24,2322,-274.9831696397413
777,25,2388,-145.59498352229784
777,26,2453,-335.5169676872022
777,27,2555,-273.5087158139752
777,28,2672,-207.4790163537774
777,29,2777,-191.5293473856016
777,30,2845,-62.14546507609164
777,31,2920,-86.32548050153576
777,32,2998,-100.8647850537882
777,33,3116,-99.55652066119184
777,34,3221,-302.50460390068406
777,35,3316,-15.855813425055388
777,36,3435,-326.5032236245378
777,37,3542,-382.7267352533046
777,38,3603,-86.96690618378467
777,39,3705,-224.0260845641201
777,40,3804,-204.06173140844754
777,41,3890,-138.49111466313042
777,42,3958,-77.40049307541294
777,43,4055,-418.2994193294886
777,44,4117,-43.57388903153041
777,45,4209,-225.4769229533839
777,46,4298,-328.1901161114026
777,47,4394,-142.24425719510484
777,48,4484,-321.9297506784634
777,49,4597,-108.69159701010159
777,50,4662,-238.72234613433446
777,51,4746,-87.36007548789723
777,52,4830,-264.5055230402472
777,53,4907,-141.2584398961122
777,54,4968,-85.09388003004364
777,55,5052,-89.31280428439858
777,56,5190,-352.53263049743555
777,57,5311,-106.92323945212557
777,58,5409,-167.76634815132405
777,59,5501,-94.2582270774308
777,60,5639,-136.01170496916342
777,61,5728,-91.56977469311909
777,62,5857,-63.553641342261386
777,63,5978,-237.4427875651177
777,64,6045,-133.28006499820833
777,65,6142,-248.09251493792772
777,66,6212,-94.67522385339561
777,67,6339,-140.36485197369822
777,68,6422,-115.42579393150568
777,69,6524,-62.14599733118588
777,70,6620,-232.14208746272672
777,71,6719,-229.90457101936755
777,72,6829,-131.85950471931417
777,73,6900,-86.82240953988254
777,74,7017,-122.67489522424957
777,75,7111,-119.11770107495524
777,76,7263,-77.75905616949998
777,77,7341,-237.17247016816054
777,78,7414,-139.19494992345147
777,79,7501,-482.410173574573
777,80,7571,-52.14363434865428
777,81,7676,-457.267706865188
777,82,7752,-92.46388532760514
777,83,7823,-66.87951422941916
777,84,7897,-146.60642035515127
777,85,8011,-143.42832275798293
777,86,8082,-172.85972686748346
777,87,8144,-97.74099381823083
777,88,8257,-41.915899765265266
777,89,8322,-154.41237670404783
777,90,8395,-104.24580075231158
777,91,8504,-156.56775540873429
777,92,8587,-141.6083576102049
777,93,8666,-130.93468624954514
777,94,8740,-223.5056490395666
777,95,8815,-75.01659804991564
777,96,8897,-288.95479127374267
777,97,8985,-148.66062325571448
777,98,9050,-114.17639433913928
777,99,9160,-147.1763559892223
777,100,9280,-122.62493756083981
777,101,9358,-75.91040086586005
777,102,9441,-116.50424831972016
777,103,9521,-115.9068057501379
777,104,9584,-66.15253997850712
777,105,9725,-253.79837056403647
777,106,9895,-22.78982458707287
777,107,9961,-187.11823269061566
777,108,10051,-157.36743902238578
777,109,10185,-149.75700024637052
777,110,10295,-221.3333711222527
777,111,10376,-357.828170562439
777,112,10472,-351.85191357897634
777,113,10575,-248.93426091490048
777,114,10647,-107.40194313928272
777,115,10711,-54.06464248932822
777,116,10802,-99.80660002700894
777,117,10895,-132.03652282169844
777,118,10979,-174.54800963432297
777,119,11069,-177.28093863938653
777,120,11155,-38.737471930606105
777,121,11239,-110.49744777763192
777,122,11314,-107.09842133060147
777,123,11405,-86.6900903776984
777,124,11508,-327.3146481451871
777,125,11594,-211.1122293982653
777,126,11658,-65.30279611415395
777,127,11745,-141.0649298919323
777,128,11833,-113.18726361923306
777,129,11942,-149.1752398997031
777,130,12049,-399.38748690113874
777,131,12121,-92.07588134689134
777,132,12195,-101.90638023999428
777,133,12269,-122.04756418043443
777,134,12353,-82.98348428935905
777,135,12431,-94.96583839595594
777,136,12519,-149.91990410846734
777,137,12638,-144.20398154713797
777,138,12706,-87.04787052125096
777,139,12768,-66.47028411789222
777,140,12855,-106.14903616186292
777,141,12923,-116.99385319968425
777,142,12997,-87.97568817880787
777,143,13094,-116.49229457590108
777,144,13201,-248.15509640767525
777,145,13286,-300.29420861168103
777,146,13400,-245.6722802673197
777,147,13473,-130.29895545974438
777,148,13583,-181.97067515987746
777,149,13649,-75.39666129056148
777,150,13750,-188.332426618558
777,151,13825,-63.96192285345758
777,152,13904,-143.1330136452687
777,153,14033,-79.57071911525779
777,154,14098,-66.35813520643968
777,155,14176,-38.03230421759663
777,156,14245,-299.67028819447694
777,157,14314,-47.50318668379506
777,158,14373,-64.7590871198094
777,159,14469,-119.68296123697907
777,160,14550,-92.13690825839652
777,161,14652,-82.73160830576631
777,162,14730,-87.4905340556164
777,163,14809,-237.84934492941318
777,164,14871,-71.70311394135256
777,165,14960,-116.13825311903052
777,166,15098,-193.7991958266038
777,167,15174,-83.75009469123975
777,168,15261,-96.52697564132161
777,169,15330,-113.85542741081099
777,170,15440,-128.64408279510724
777,171,15510,-60.27805109559111
777,172,15596,-187.08979915935697
777,173,15722,-177.74380931707856
777,174,15816,-80.82347522064711
777,175,15892,-100.35120719033716
777,176,15969,-61.01226937036773
777,177,16043,-112.87058008866784
777,178,16126,-219.12038485044422
777,179,16225,-100.52579580205358
777,180,16334,-131.12889318382278
777,181,16446,-184.91990277679474
777,182,16565,-197.5507359268056
777,183,16644,-106.31160003516035
777,184,16713,-89.77282961446286
777,185,16830,-136.25227136278136
777,186,16938,-85.72739447494658
777,187,17040,-102.09692139524657
777,188,17127,-97.06830702179145
777,189,17202,-92.17417285177503
777,190,17275,-101.2381891130519
777,191,17349,-44.30407923952528
777,192,17438,-220.5404323437868
777,193,17540,-127.60610171987963
777,194,17669,-187.2900016101945
777,195,17758,-96.18095130275753
777,196,17866,-91.06797922126476
777,197,17933,-122.53231206374767
777,198,18050,-125.47854678200952
777,199,18134,-77.50841111318638
777,200,18235,-154.6667120347256
777,201,18299,-79.3939327455872
777,202,18375,-78.42810255642901
777,203,18497,-116.07491687047055
777,204,18579,-23.761814046016738
777,205,18660,-96.95363449291096
777,206,18730,-330.7786999859304
777,207,18860,-157.94514476796854
